country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
Palau,6,7.64,0,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
Turkmenistan,6,7.2,0,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
MX,6,6.8,3,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
Bulgaria,6,7.1,3,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
Washington,5,6.8,0,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Uganda,5,6.6,0,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Mexico Earthquake,5,8.2,1,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Haiti,5,7.2,1,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
CA,5,6.4,0,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Cyprus,5,6.8,0,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Malaysia,5,7.1,0,159.0,0.031446540880503145,0.03095724075827455,0.14549481143976017,0.26982088272362903,1.042324686547847,6.95939395171765
Laos,4,6.67,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Saint Helena,4,6.13,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Japan Earthquake,4,7.6,1,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
South Sudan,4,7.2,1,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
U.S. Virgin Islands,4,6.19,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Egypt,4,7.2,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Morocco,4,6.8,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
